Campaign,Budget,Campaign type,Bid strategy type,CPC bid limit,Ad Group,Keyword,Final URL
"Pegada Carteles Álava","30","Search","Maximize clicks","0.5","Pegada Carteles Vitoria-Gasteiz","[pegada de carteles vitoria-gasteiz]","https://www.urbanstylepublicity.com/pegada-carteles/alava/vitoria"
"Pegada Carteles Álava","30","Search","Maximize clicks","0.5","Pegada Carteles Vitoria-Gasteiz",""pegada de carteles vitoria-gasteiz"","https://www.urbanstylepublicity.com/pegada-carteles/alava/vitoria"
"Pegada Carteles Albacete","30","Search","Maximize clicks","0.5","Pegada Carteles Albacete","[pegada de carteles albacete]","https://www.urbanstylepublicity.com/pegada-carteles/albacete"
"Pegada Carteles Albacete","30","Search","Maximize clicks","0.5","Pegada Carteles Albacete",""pegada de carteles albacete"","https://www.urbanstylepublicity.com/pegada-carteles/albacete"
"Pegada Carteles Alicante","30","Search","Maximize clicks","0.5","Pegada Carteles Alicante","[pegada de carteles alicante]","https://www.urbanstylepublicity.com/pegada-carteles/alicante"
"Pegada Carteles Alicante","30","Search","Maximize clicks","0.5","Pegada Carteles Alicante",""pegada de carteles alicante"","https://www.urbanstylepublicity.com/pegada-carteles/alicante"
"Pegada Carteles Alicante","30","Search","Maximize clicks","0.5","Pegada Carteles Elche","[pegada de carteles elche]","https://www.urbanstylepublicity.com/pegada-carteles/alicante/elche"
"Pegada Carteles Alicante","30","Search","Maximize clicks","0.5","Pegada Carteles Elche",""pegada de carteles elche"","https://www.urbanstylepublicity.com/pegada-carteles/alicante/elche"
"Pegada Carteles Alicante","30","Search","Maximize clicks","0.5","Pegada Carteles Torrevieja","[pegada de carteles torrevieja]","https://www.urbanstylepublicity.com/pegada-carteles/alicante/torrevieja"
"Pegada Carteles Alicante","30","Search","Maximize clicks","0.5","Pegada Carteles Torrevieja",""pegada de carteles torrevieja"","https://www.urbanstylepublicity.com/pegada-carteles/alicante/torrevieja"
"Pegada Carteles Alicante","30","Search","Maximize clicks","0.5","Pegada Carteles Orihuela","[pegada de carteles orihuela]","https://www.urbanstylepublicity.com/pegada-carteles/alicante/orihuela"
"Pegada Carteles Alicante","30","Search","Maximize clicks","0.5","Pegada Carteles Orihuela",""pegada de carteles orihuela"","https://www.urbanstylepublicity.com/pegada-carteles/alicante/orihuela"
"Pegada Carteles Alicante","30","Search","Maximize clicks","0.5","Pegada Carteles Benidorm","[pegada de carteles benidorm]","https://www.urbanstylepublicity.com/pegada-carteles/alicante/benidorm"
"Pegada Carteles Alicante","30","Search","Maximize clicks","0.5","Pegada Carteles Benidorm",""pegada de carteles benidorm"","https://www.urbanstylepublicity.com/pegada-carteles/alicante/benidorm"
"Pegada Carteles Alicante","30","Search","Maximize clicks","0.5","Pegada Carteles Alcoy","[pegada de carteles alcoy]","https://www.urbanstylepublicity.com/pegada-carteles/alicante/alcoy"
"Pegada Carteles Alicante","30","Search","Maximize clicks","0.5","Pegada Carteles Alcoy",""pegada de carteles alcoy"","https://www.urbanstylepublicity.com/pegada-carteles/alicante/alcoy"
"Pegada Carteles Alicante","30","Search","Maximize clicks","0.5","Pegada Carteles S. Vicente Raspeig","[pegada de carteles san vicente del raspeig]","https://www.urbanstylepublicity.com/pegada-carteles/alicante/san-vicente-del-raspeig"
"Pegada Carteles Alicante","30","Search","Maximize clicks","0.5","Pegada Carteles S. Vicente Raspeig",""pegada de carteles san vicente del raspeig"","https://www.urbanstylepublicity.com/pegada-carteles/alicante/san-vicente-del-raspeig"
"Pegada Carteles Alicante","30","Search","Maximize clicks","0.5","Pegada Carteles Elda","[pegada de carteles elda]","https://www.urbanstylepublicity.com/pegada-carteles/alicante/elda"
"Pegada Carteles Alicante","30","Search","Maximize clicks","0.5","Pegada Carteles Elda",""pegada de carteles elda"","https://www.urbanstylepublicity.com/pegada-carteles/alicante/elda"
"Pegada Carteles Almería","30","Search","Maximize clicks","0.5","Pegada Carteles Almería","[pegada de carteles almería]","https://www.urbanstylepublicity.com/pegada-carteles/almeria"
"Pegada Carteles Almería","30","Search","Maximize clicks","0.5","Pegada Carteles Almería",""pegada de carteles almería"","https://www.urbanstylepublicity.com/pegada-carteles/almeria"
"Pegada Carteles Almería","30","Search","Maximize clicks","0.5","Pegada Carteles Roquetas de Mar","[pegada de carteles roquetas de mar]","https://www.urbanstylepublicity.com/pegada-carteles/almeria/roquetas-de-mar"
"Pegada Carteles Almería","30","Search","Maximize clicks","0.5","Pegada Carteles Roquetas de Mar",""pegada de carteles roquetas de mar"","https://www.urbanstylepublicity.com/pegada-carteles/almeria/roquetas-de-mar"
"Pegada Carteles Almería","30","Search","Maximize clicks","0.5","Pegada Carteles El Ejido","[pegada de carteles el ejido]","https://www.urbanstylepublicity.com/pegada-carteles/almeria/el-ejido"
"Pegada Carteles Almería","30","Search","Maximize clicks","0.5","Pegada Carteles El Ejido",""pegada de carteles el ejido"","https://www.urbanstylepublicity.com/pegada-carteles/almeria/el-ejido"
"Pegada Carteles Asturias","30","Search","Maximize clicks","0.5","Pegada Carteles Gijón","[pegada de carteles gijón]","https://www.urbanstylepublicity.com/pegada-carteles/asturias/gijon"
"Pegada Carteles Asturias","30","Search","Maximize clicks","0.5","Pegada Carteles Gijón",""pegada de carteles gijón"","https://www.urbanstylepublicity.com/pegada-carteles/asturias/gijon"
"Pegada Carteles Asturias","30","Search","Maximize clicks","0.5","Pegada Carteles Oviedo","[pegada de carteles oviedo]","https://www.urbanstylepublicity.com/pegada-carteles/asturias/oviedo"
"Pegada Carteles Asturias","30","Search","Maximize clicks","0.5","Pegada Carteles Oviedo",""pegada de carteles oviedo"","https://www.urbanstylepublicity.com/pegada-carteles/asturias/oviedo"
"Pegada Carteles Asturias","30","Search","Maximize clicks","0.5","Pegada Carteles Avilés","[pegada de carteles avilés]","https://www.urbanstylepublicity.com/pegada-carteles/asturias/aviles"
"Pegada Carteles Asturias","30","Search","Maximize clicks","0.5","Pegada Carteles Avilés",""pegada de carteles avilés"","https://www.urbanstylepublicity.com/pegada-carteles/asturias/aviles"
"Pegada Carteles Ávila","30","Search","Maximize clicks","0.5","Pegada Carteles Ávila","[pegada de carteles ávila]","https://www.urbanstylepublicity.com/pegada-carteles/avila"
"Pegada Carteles Ávila","30","Search","Maximize clicks","0.5","Pegada Carteles Ávila",""pegada de carteles ávila"","https://www.urbanstylepublicity.com/pegada-carteles/avila"
"Pegada Carteles Badajoz","30","Search","Maximize clicks","0.5","Pegada Carteles Badajoz","[pegada de carteles badajoz]","https://www.urbanstylepublicity.com/pegada-carteles/badajoz"
"Pegada Carteles Badajoz","30","Search","Maximize clicks","0.5","Pegada Carteles Badajoz",""pegada de carteles badajoz"","https://www.urbanstylepublicity.com/pegada-carteles/badajoz"
